new_province, old_province
Hà Nội,Hanoi
Thành phố Hồ Chí Minh,"Bà Rịa-Vũng Tàu Province|Bình Dương Province|Ho Chi Minh City"
Hải Phòng,"Hải Dương Province|Haiphong"
Đà Nẵng,"Quảng Nam Province|Da Nang"
Cần Thơ,"Cần Thơ|Sóc Trăng|Hậu Giang Province"
Huế,"Thừa Thiên-Huế Province"
Tuyên Quang,"Tuyên Quang Province|Hà Giang Province"
Lào Cai,"Lào Cai Province|Yên Bái Province"
Thái Nguyên,"Bắc Kạn Province|Thái Nguyên Province"
Phú Thọ,"Vĩnh Phúc Province|Phú Thọ Province|Hòa Bình Province"
Bắc Ninh,"Bắc Ninh Province|Bắc Giang Province"
Hưng Yên,"Hưng Yên Province|Thái Bình Province"
Ninh Bình,"Hà Nam Province|Ninh Bình Province|Nam Định Province"
Quảng Trị,"Quảng Bình Province|Quảng Trị Province"
Quảng Ngãi,"Kon Tum Province|Quảng Ngãi Province"
Gia Lai,"Gia Lai Province|Bình Định Province"
Khánh Hoà,"Ninh Thuận Province|Khánh Hòa Province"
Lâm Đồng,"Lâm Đồng Province|Đắk Nông Province|Bình Thuận Province"
Đắk Lắk,"Đắk Lắk Province|Phú Yên Province"
Đồng Nai,"Đồng Nai Province|Bình Phước Province"
Tây Ninh,"Tây Ninh Province|Long An Province"
Vĩnh Long,"Bến Tre Province|Vĩnh Long Province|Trà Vinh Province"
Đồng Tháp,"Tiền Giang Province|Đồng Tháp Province"
Cà Mau,"Bạc Liêu Province|Cà Mau Province"
An Giang,"An Giang Province|Kiên Giang Province"
Lai Châu,"Lai Châu Province"
Điện Biên,"Điện Biên Province"
Sơn La,"Sơn La Province"
Lạng Sơn,"Lạng Sơn Province"
Quảng Ninh,"Quảng Ninh Province"
Thanh Hoá,"Thanh Hóa Province"
Nghệ An,"Nghệ An Province"
Hà Tĩnh,"Hà Tĩnh Province"
Cao Bằng,"Cao Bằng Province"